wharton_reports_wharton-mba-course-list
Department,Course ID,Course Title,Instructors,Description
Health Care Management,HCMG8580,"Health AI: Strategy, Design, and Execution(0.5 CU)",Daniel Shenfeld,"Artificial intelligence (AI) is promising to revolutionize healthcare, offering unprecedented opportunities to develop new treatments and diagnostic tools, reduce costs, and transform care delivery. However, successfully applying AI in the complex healthcare ecosystem requires not only technical expertise but also a clear understanding of clinical, operational, and strategic context. Healthcare leaders must grasp not only the potential of AI but also its limitations, ethical implications, and operational challenges. This course invites students to explore these issues, equipping them with the tools to think strategically and methodically about the role of AI in the healthcare. This is a practical course that emphasizes what can be achieved today and how to navigate real-world implementation challenges. By focusing on the realities of applying AI on the ground—technical hurdles, clinician collaboration, and organizational readiness—students will develop a nuanced and pragmatic understanding of how to leverage AI to drive concrete impact in healthcare organizations. Through a combination of lectures, case studies, and guest speakers, students will explore the full lifecycle of healthcare AI projects. Topics include evaluating AI use cases, navigating technical and clinical implementation challenges, and designing a roadmap for scaling AI within an organization. The course also addresses broader considerations such as bias and equity, intellectual property, and regulation in healthcare AI. Students will gain practical, hands-on experience by analyzing real-world case studies and engaging in discussions with leaders in healthcare and AI. By the end of the course, participants will be prepared to (1) critically assess AI opportunities, (2) collaborate effectively with technical and clinical teams, and (3) develop strategies for implementing AI solutions that create measurable value in healthcare."
Health Care Management,HCMG8590,Comparative Health Care Systems(1 CU),Claudio Lucarelli,"This course examines the structure of health care systems in different countries, focusing on financing, reimbursement, delivery systems and adoption of new technologies. We study the relative roles of private sector and public sector insurance and providers, and the effect of system design on cost, quality, efficiency and equity of medical services. Some issues we address are normative: Which systems and which public/private sector mixes are better at achieving efficiency and equity? Other issues are positive: How do these different systems deal with the tough choices, such as decisions about new technologies? Our focus first on the systems in four large, prototypical OECD countries- Germany, Canada, Japan, and the United Kingdom -and then look at other developed and emerging countries with interesting systems - including Italy, Chile, Singapore, Brazil, China and India. We will draw lessons for the U.S. from foreign experience and vice versa."
Health Care Management,HCMG8600,Leading Health Care Organizations(1 CU),Ingrid Nembhard,"This course aims to improve enrollees' ability to effectively manage and lead health care organizations (HCOs, including hospitals, medical groups, insurers, biopharmaceutical firms, etc.). The course is designed to integrate previous course work in general managment, health care, and health policy to further participants' understanding of organizational, managerial, and strategic issues facing HCOs and the health care workforce. The course will provide participants with a foundation for developing, implementing, and analyzing efforts to improve HCOs' performance. A major objective of the course is to sharpen the leadership, problem-solving, and presentation skills of those who aim to hold operational and strategic positions in health care organizations. Another objective is to introduce enrollees to leading HCOs. Through case studies, readings, in-class exercises and class discussions, particpants will learn analytic frameworks, concepts, tools and skills necessary for leading and managing organizational learning, quality improvement, innovation, and overall performance in HCOs."
Health Care Management,HCMG8630,Management and Economics of Pharmaceutical and Biotech Industries(1 CU),Abby Alpert,"This course explores the key phases of the pharmaceutical and biotechnology product lifecycle.  The product journey begins in the lab where scientists explore a vast array of compounds against diseases (therapeutic targets).  Compounds that perform best enter the capital-intensive clinical trial phase aimed at assessing the product’s safety and efficacy.  In parallel, regulatory agencies guide and govern these trials and ultimately decide which products are approved for use in patients. Once approved, launched, and priced, products face many dynamic market forces including competitors trying to steal share, government and private payers placing downward pressure on price, regulatory agencies controlling what manufacturers can and cannot say about their products, generic manufacturers challenging existing patents, and finally patients and physicians who behave both rationally and irrationally when deciding which product to use.  While the course perspective is global in nature, the emphasis is on the U.S., the largest and most profitable market. In addition, we will delve into the world of biotech start-ups from company creation and financing, to how they make decisions which compounds to advance.  We will also explore how large pharma views the biotech industry to bolster their existing pipelines and drive shareholder value. Through case studies, readings, guest speakers, and in-class exercises, students will learn concepts and analytical frameworks and acquire the tools and skills necessary to become the future leaders of the pharmaceutical and biotech industry."
Health Care Management,HCMG8660,The Digital Transformation of Health Care(0.5 CU),"Mitesh Patel, Srinath Adusumalli","Healthcare is in the early stages of extraordinary change in the business model of care delivery and financing. This transformation will lead to a system based on the proactive management of health, integration of care across the continuum, blurred boundaries between care providers and purchasers and the placement of the consumer at the center. As has been the case in other industries, this new business model will be based on a foundation of diverse, potent, and well implemented information technology. This course will help prepare students to lead a digital health future. Specifically, the course will cover three major areas. (1)The context of health care information technology: the size, composition and evolution of the digital health market; federal government agencies, and related regulations, that shape the market; leadership roles and factors that enable healthcare organizations to effectively implement and leverage information technology. (2)Emerging technologies that will fuel the transformation of healthcare: artificial intelligence and advanced analytics; interoperability; telehealth; consumer-directed digital health; use of behavioral economics to influence patient and provider decisions. (3)Digital health use by specific sectors of the healthcare industry: healthcare providers; health plans; retail-based primary care; life sciences; wellness and chronic disease management. The course will include lectures from industry leaders who will share their ideas and experiences."
Health Care Management,HCMG8670,Health Care Entrepreneurship(0.5 CU),"Gary Kurtzman, Pitamber Devgon, Stephen Sammut","The course focuses on the creation, funding, and management of digital health, biotech, medtech, and other health services enterprises. The course is designed to supplement other offerings in the Health Care Systems and Management Departments for those students with entrepreneurial interest in such ventures, and will focus on special issues surrounding the conceptualization, planning, diligence, and capitalization of these ventures and also includes management and compensation practices. In addition, course offers methods for self-assessment & development of business models and plans, techniques for technology assessment and strategy, develops foundation for capitalization and partnering strategies, and creates a basis for best practices in company launch and plan execution. Students must apply to take this course. Please see the Health Care Management Department for the application."
Health Care Management,HCMG8680,Private Sector Role in Global Health(0.5 CU),Stephen Sammut,"Issues surrounding global health have captivated the attention of the public sector and foundations for many decades. Many of their initiatives are realizing progress on the health-related Millennium Development Goals. The private sector has been less engaged in global health, but has a significant role to play in providing resources and in building infrastructure, human resource capacity and sustainability. This course explores entrepreneurial and other private sector solutions for health services and access to medicines and technologies in the developing world and other underserved areas. The course also encompasses study of creative programs to engage the private sector in development of vaccines and medicines for tropical and neglected diseases. Furthermore, the course addresses novel care systems and therapeutic strategies for the rapidly growing burden of chronic, non-communicable diseases in the developing world. In short, the course builds on the content of conventional global health courses from a managerial and entrepreneurial perspective. Learning is driven through readings, class discussion and a series of guest speakers representing a wide range of global health issues. Evaluation is largely based on a student group project."
Health Care Management,HCMG8700,The Business of Behavioral Health(0.5 CU),Molly Candon,"This half-credit course will provide an overview of the behavioral health care landscape. There are three modules: (1) delivery, e.g., deinstitutionalization, the provider shortage, collaborative care; (2) financing, e.g., managed care, the shift to value-based care; and (3) recent trends, e.g., digital health, venture capital. Each module will include a guest lecturer with industry expertise."
Health Care Management,HCMG8740,Building Value-Oriented Healthcare Services Companies(0.5 CU),Andrew Hayek,"The vast majority of new healthcare services companies fail, while a very small minority scale nationally, reaching their potential to serve patients and impact the healthcare system. The companies that defy the odds serve an important function in advancing our healthcare system: addressing unmet social and medical needs; bringing innovation in clinical models, technology, or service models; building workplaces that are more attractive for employees; and/or inspiring incumbent organizations to evolve their models. This course follows the process of designing, launching and scaling value-oriented healthcare services companies – i.e., companies that aspire to advance the triple aim of healthcare (improving quality, experience and total cost of care). The course has a particular focus on assessing which NewCo ideas will be viable, designing of the clinical and economic models, partnering with providers (primary care, specialists and hospitals) and payers, building strong teams and culture, attracting capital, and ensuring long-term economic viability. We will follow the perspective of a practitioner, leveraging real-world examples and case studies, including guest speakers who share current experiences. The course is directly relevant to students contemplating building or joining early-stage healthcare services companies; and, the course is also designed to be relevant to students who will be in roles that interact with these types of companies throughout their careers (e.g., as investors, consultants, investment bankers, hospital executives, health plan executives)."
Health Care Management,HCMG8770,Funding Biotech(0.5 CU),Alex Sapir,"The biotechnology (biotech) industry is one of the most capital-intensive segments of the health care industry.  The actual cost to bring a drug from the research labs to patients is estimated to be in the hundreds of millions of dollars, and yet only 10% of all drugs that enter human testing are ever approved, often failing due safety issues or lackluster efficacy.  Therefore, when you factor in the cost of these drug failures, the cost to get a drug approved can reach into the billions.  And that’s not even considering the cost to market the drug once approved.  Despite these inherent clinical and commercial risks coupled with the high costs of developing and marketing a drug, there was over $500 billion of equity capital invested into biotech companies over the past 10 years signaling a robust market where returns are disproportionate to risk. This course will explore funding these risky biotech ventures from two perspectives: the biotech CEO (primary focus of the course) and the biotech investor (secondary focus of the course).  Students will learn about the various ways biotech companies are capitalized (e.g., equity, convertible/structured debt, licensing partnerships, clinical trial financing, royalty monetization, etc.) and the tradeoffs a biotech CEO considers when deciding which options to pursue at various stages of the company’s evolution.  We will also explore first-hand how the biotech investor thinks about the firm’s capital structure when deciding to make an equity investment as well as understand the quantitative (e.g., market & competitive assessments, total financing needs of the firm, NPV) and qualitative (e.g., physician’s proclivity to prescribe, strength of management, etc.) diligence the biotech investor performs prior to making an investment.  For the final project, students will analyze the capital requirements for a biotech company and make recommendations based on the financing options available to the firm. Through readings, lectures, case studies, guest speakers, and a final project, students will learn concepts and analytical frameworks and acquire the tools and skills necessary to make important financing decisions as a biotech CEO."
Health Care Management,HCMG8900,Advanced Study Project: Management of Health Care Service Businesses(1 CU),Doug Present,"HCMG 8900-001: This course examines issues related to the Services Sector of the health care industry. For those interested in management, investing, or banking in the health care industry, the services sector will likely be the largest and most dynamic sector within all of health care. We will study key management issues related to a number of different health care services businesses with a focus on common challenges related to reimbursement, regulatory, margin, growth, and competitive issues. We will look at a number of different businesses and subsectors that may have been unfamiliar to students prior to taking the course. We will make extensive use of outside speakers, many of whom are true industry leaders within different sectors of the health care services industry. Speakers will address the current management issues they face in running their businesses as well as discuss the career decisions and leadership styles that enables them to reach the top of their profession. Students will be asked to develop a plan to both buy out and manage a specific health care services business of their choosing and will present their final plans to a panel of leading Health Care Private Equity investors who will evaluate their analysis. Prerequisites: HCMG 8410. Health Care Management MBA majors only"
Health Care Management,HCMG8980,Global Modular Course(0.5 CU),Guy David,Global Modular Course (GMC) - see description in section details
Legal Studies and Business Ethics,LGST5240,Human Rights and Globalization(1 CU),Rangita De Silva-De Alwis,"The 2000 UN GLobal Compact has confirmed the role of TNCs as central actors in the UN system of international human rights law, but whether their role should be voluntary or legally mandated remains in dispute. This course introduces students to how globaliztion has led to projects for expanding international human rights law to capture the operations of TNCs and why this development is opposed in many quarters. Competing perspectives on the pros and cons of imposing human rights responsibilities on TNCs and on the respective roles that businesses and governments should play will be examined. The positions of various governments, businesses, international institutions, academics, and NGOs will be considered, and a number of illustrative case studies will be analyzed."
Legal Studies and Business Ethics,LGST6110,Responsibility in Global Management(0.5 CU),"Aryeh Friedman, Christina Skinner, Peter Conti-Brown, Philip M Nichols","This course uses the global business context to introduce students to important legal, ethical and cultural challenges they will face as business leaders. Cases and materials will address how business leaders, constrained by law and motivated to act responsibly in a global context, should analyze relevant variables to make wise decisions. Topics will include an introduction to the basic theoretical frameworks used in the analysis of ethical issues, such as right-based, consequentialist-based, and virtue-based reasoning, and conflicting interpretations of corporate responsibility. The course will include materials that introduce students to basic legal (common law vs. civil law) and normative (human rights) regimes at work in the global economy as well as sensitize them to the role of local cultural traditions in global business activity. Topics may also include such issues as comparative forms of corporate governance, bribery and corruption in global markets, human rights issues, diverse legal compliance systems, corporate responses to global poverty, global environmental responsibilities, and challenges arising when companies face conflicting ethical demands between home and local, host country mores. The pedagogy emphasizes globalized cases, exercises, and theoretical materials from the fields of legal studies, business ethics and social responsibility."
Legal Studies and Business Ethics,LGST6120,Responsibility in Business(0.5 CU),"Brian Feinstein, G Richard Shell, Ronald Sarachan","This course introduces students to important ethical and legal challenges they will face as leaders in business. The course materials will be useful to students preparing for managerial positions that are likely to place them in advisory and/or agency roles owing duties to employers, clients, suppliers, and customers. Although coverage will vary depending on instructor, the focus of the course will be on developing skills in ethical and legal analyses that can assist managers as they make both individual-level and firm-level decisions about the responsible courses of action when duties, loyalties, rules, norms, and interests are in conflict. For example, the rules of insider trading may form the basis for lessons in some sections. Group assignments, role-plays, and case studies may, at the instructor's discretion, be used to help illustrate the basic theoretical frameworks. Course materials will highlight industry codes and professional norms, as well as the importance of personal and/or religious values."
Legal Studies and Business Ethics,LGST6130,"Business, Social Responsibility, and the Environment(0.5 CU)","Eric Orts, Sarah Light","This half-credit (.5 cu) course presents students with the opportunity to explore an alternative perspective to what some might consider the traditional or standard model of business. A starting point of the course is to ask whether business firms owe a “social responsibility” that includes, but goes beyond, maximizing profits. The course begins with overarching questions including to whom a business firm owes legal and ethical duties, how to balance or trade-off obligations owed to different stakeholders when they may conflict, and how to consider the distributional and other socially important implications of business decisions. Different sections of this course will examine questions about the responsibility of business toward a number of pressing environmental and social issues, including for example, climate change, fresh water availability, green marketing claims, democratic values, racial and gender diversity, human rights, poverty reduction, and global health issues such as access to medicine.  These topics will be treated primarily through the lenses of law and ethics. Please consult individual instructors’ syllabi in the Wharton syllabus repository for further details on what will be covered in each individual section, and please note that topics change over time and in response to student and faculty interests. Finally, students should expect to prepare and present in groups to colleagues in classes on selected issues of business responsibility. This course fulfills the MBA Flex Core requirement in Legal Studies and Business Ethics."
Legal Studies and Business Ethics,LGST6420,"Big Data, Big Responsibilities: Toward Accountable Artificial Intelligence(0.5 CU)","Kevin Werbach, Radha Plumb","Artificial intelligence, and related forms of algorithmic decision-making and analytics, are already beginning to transform business, and beyond. With the immense power of these tools, however, comes tremendous responsibility. Problems of accuracy, liability, transparency, bias and discrimination, data protection, job displacement, manipulation, misinformation, and intellectual property violations are already prominent. Major government actors around the world are rapidly adopting new legislation and other obligations. This course identifies the major issues of AI accountability that organizations must consider, as well as the operational, legal compliance, ethical, and technical steps they can take to address them."
Legal Studies and Business Ethics,LGST6430,"Other People's Money: The Law, Politics, and History of Financial Institutions(1 CU)",Rory Van Loo,"We learn in introductory economics courses that money is fungible: that is, one dollar is as good as the next. Indeed, using money as a ""medium of exchange"" is one of its defining characteristics. But what happens when we take a big pile of money and put it in different buckets. On one bucket we might write ""hedge fund""; on another, ""central bank""; on still another, ""payday lender."" Then money starts to change in ways defined by law, history, ethics, and politics. This course will take you on a tour of these different buckets--different kinds of financial institutions, broadly defined--throughout the modern financial system. We will look at hedge funds, insurance companies, investment banks, sovereign wealth funds, central banks, consumer banks, payday lenders, state-sponsored enterprises (like the Export-Import Bank in the United States and much of the financial system in China), and the cutting edge of fintech, including crowd-funded lending, digital currencies, and more. In each case, students will be exposed to a series of specialized questions: Where did this institution come from? What problem is it trying to solve that other alternatives could not resolve? What is the basic business (or, where relevant, regulatory) model for each institution? How is each institution regulated, and by whom? What are the ethical considerations in each context? What are the political considerations that each market participant faces?"
Legal Studies and Business Ethics,LGST6440,"Blockchain and Cryptocurrencies: Business, Legal and Regulatory Considerations(1 CU)",Donna Redel,"This course explores how blockchain technology, digital assets, and FinTech are transforming global finance—and how regulators, courts, and innovators are responding. Students will gain a foundational understanding of key innovations including cryptocurrencies, decentralized finance (DeFi), non-fungible tokens (NFTs), DAOs, stablecoins, exchanges, staking, central bank digital currencies (CBDCs), and the tokenization of real-world assets. Emphasizing both legal frameworks and practical use cases, the course analyzes how regulatory uncertainty, enforcement actions, and global policy shifts are shaping the future of digital finance. Through case studies, guest speakers, and interactive discussions, students will critically evaluate the risks and opportunities these technologies present to businesses, investors, funds,  and governments. No technical or crypto-specific background is required."
Legal Studies and Business Ethics,LGST6470,The Business and Governance of Water(1 CU),Robert Powelson,"Virtually every business imaginable–from oil refining to semiconductor manufacturing to cloud computing—requires copious supplies of fresh water. However, there is a fixed amount of water on earth. As climate change makes many parts of the world hotter and drier, it is increasingly important for today’s business leaders to be able to understand water challenges and to implement solutions that will enable businesses to thrive in the future. In addition to understanding and navigating water quality and quantity challenges, business leaders thinking about water operate in a highly regulated environment at the local, national, and global levels. It is therefore important to understand who the key external stakeholders—both public and private—are and how to engage with them productively. Students are not expected to have any previous experience with the water industry. This course will begin by focusing on global water risks and global, national, and local water governance. It will introduce students to how governments at many levels make and implement water policy and how business leaders need to navigate managing water risks and opportunities within that environment. It will also cover private governance and water— considering how to engage with NGOs like the World Resources Institute and the CDP (formerly Carbon Disclosure Project) that operate on behalf of multiple stakeholders, including investors in this space. The course will examine the duties of corporate officers and directors in developing and implementing a firm’s water sustainability program, how major water projects are financed, and the business ethics issues surrounding “doing the right thing” in a module on water and ESG (environmental, social and governance factors). It will conclude with an “H2O Shark Tank” exercise where student groups pitch their best ideas for sustainable water solutions to a panel of potential funders, including investment banks, corporate executives, and foundation leaders."
Legal Studies and Business Ethics,LGST6920,Advanced Topics Negotiation(1 CU),Maurice Schweitzer,"This is a course the builds on the basic Negotiation course. In this course, we explore a wide range of negotiation topics from crisis and hostage negotiations, to the role of emotions including anxiety, envy and anger in negotiations, to backlash effects for women in negotiations, and the role of alcohol in negotiations. We will survey many aspects of current negotiation research, discuss historic negotiation cases, and students will participate in role-play exercises. Many of the role play exercises will involve multi-party negotiations and afford opportunities to hone skills in team-based negotiations."
Legal Studies and Business Ethics,LGST6930,Influence(0.5 CU),Cade Massey,"Building, protecting and using influence is critical for achieving your goals. This requires good personal decision making as well as understanding others' decision-making, proficiency at the negotiation table as well as with the tacit negotiations before and after sitting at the table. In this course, we focus on building your facility with a wide range of influence tools to help with these efforts. Topics include power and status, informal networks, coalitions and persuasion."
Legal Studies and Business Ethics,LGST7290,Intellectual Property Strategy for the Innovation-Driven Enterprise(0.5 CU),Steven Weiner,"Announcing the first iPhone at Macworld 2007, Apple CEO Steve Jobs famously boasted: ""And boy, have we patented it!"" How, and to what extent, do patents and intellectual property really provide competitive advantage for innovative technology companies? What makes an IP asset strategically powerful? How do patents impact, and even drive, major corporate decisions including M&A, venture funding and exits, and entry into new markets? In this course, students will learn to critically analyze and answer these questions, gaining insights they can leverage in their future roles as innovation industry executives, entrepreneurs, strategist and investors. The course includes three major units. In Unit 1, Patents and Innovation Value, we examine closely the relationship between competitive advantage, value proposition, and intellectual property (particularly patents). We will apply our understanding of that relationship to critique and sharpen patent strategy to protect examples of cutting-edge technologies. In Unit 2, Patent Leverage and the Corporate Playbook, we study theory and examples of how intellectual property leverage strategically informs corporate transactions and decisions, for established companies as well as for start-ups. In unit 3, Limits and Alternatives to Patents, we confront the recent legal trend toward reigning in the power and scope of patents. We also consider the growing importance of data as a proprietary technology asset, and discuss options for adapting intellectual property strategy appropriately. Throughout, students will learn and practice applying the concepts we learn to decision-making in examples based on innovative real-world technologies and businesses."
Legal Studies and Business Ethics,LGST7500,Global (Anti-)Money Laundering(1 CU),Peter Conti-Brown,"In this course, we will explore a phenomenon that you will encounter – and indeed, have already encountered – on an almost daily basis, whether you know it or not: anti-money laundering. This curious set of practices and institutions explains most ways that money travels through the world. Criminals attempt to use money from illegal activities in ways that are otherwise legal; governments go to great lengths to forbid it. The result is that everyone – banks and businesses, consumers and entrepreneurs, politicians and citizens, immigrants and tourists, official institutions and a local food truck – is caught in a complex web of legal, historical, financial, and political factors that defines our modern financial system. This course will equip students with an understanding of how and what money laundering is, what to expect as a business executive or entrepreneur in a world where money laundering and its prevention will motivate so many seemingly unrelated opportunities, and provide a broader context for understanding the modern global financial system."
Legal Studies and Business Ethics,LGST7620,Environmental Sustainability and Value Creation(0.5 CU),David Jacoby,"This course provides an overview of topics related to corporate sustainability with a focus on how environmentally sustainable approaches can create value for the firm. The course explores trends in corporate practices and students consider specific examples of such practices to examine the interactions between the firm and the environment. This course has three objectives: to increase students' knowledge of sustainability practices and their impact on firm performance; to teach students to think strategically and act entrepreneurially on environmental issues; and to help students design business approaches to improve environmental outcomes, while simultaneously creating value."
Legal Studies and Business Ethics,LGST7720,Competition Policy(0.5 CU),Aviv Nevo,"This half-semester course introduces students to competition policy in the US and to economic theory and analysis that support it. We will draw on a mixture of lectures, guided exercises and presentation of actual (antitrust court) cases to review the economic analysis, analytic techniques and practical approaches that are useful for analyzing and discussing how US antitrust laws, as applied and interpreted by competition agencies and courts. We will discuss the evidence and reasoning advanced in key antitrust cases and consider how case outcomes may affect social welfare, consumers, and workers. Some examples of questions we will address in the course: When does merger pose a risk of substantially lessening competition? How do competition agencies and courts make this determination? What constitutes illegal monopolization and how is it evaluated? This course prepares students to be aware of antitrust laws and the implications it might have across a range of professional contexts – as management consultants, product managers, entrepreneurs, business unit managers, and M&A advisors."
Legal Studies and Business Ethics,LGST7820,Corrupted Information(1 CU),Nina Strohminger,"Traditionally, the problem of decision-making under uncertainty is presented in terms of the cognitive limitations of the decision-maker. This course explores the problem in terms of how information is manipulated, withheld, and outright fabricated by those controlling the information flow. Environments rich in corrupted information generate a unique suite of challenges for the decision-maker, among them how to interpret expert testimony, scientific data, advertisements, and claims from business leaders and media. Beginning with the foundational issue of information asymmetry, this course provides a wide-ranging review of the many ways that uncertainty is used to stymie our ability to draw unbiased conclusions. Topics covered include: the weaponization of confidence and doubt, spin, the modern attention economy, deep fakes, and how to distinguish experts from frauds. We will examine various strategies for balancing skepticism with trust, particularly in corrupted systems. By the end of the course, you will have an understanding of the theoretical underpinnings of corrupted information, and a toolkit for navigating the obstacles it places between the decision-maker and the truth."
Legal Studies and Business Ethics,LGST7990,Seminar in Law & Society(1 CU),Peter Conti-Brown,"A study of the nature, functions, and limits of law as an agency of societal policy. Each semester an area of substantive law is studied for the purpose of examining the relationship between legal norms developed and developing in the area and societal problems and needs."
Legal Studies and Business Ethics,LGST8020,Law of Corporate Management  and Finance(1 CU),Eric Orts,"This course provides an introduction to the law of corporate management and finance. The course covers the roles of directors and managers under state corporate law and the federal securities laws. It also considers the rights and responsibilities of other major stakeholders, including shareholders, creditors, and employees. Particular attention is given to the law of mergers and acquisitions. Focus is on public corporations, but application of the law to venture firms is also discussed. Alternative organizational forms, such as LLCs, partnerships, and DAOs, are considered. Format: Socratic conversation and some lecture."
Legal Studies and Business Ethics,LGST8040,Real Estate Law(1 CU),David Lebor,"This course examines the fundamentals of real estate finance and development from a legal and managerial perspective. The course serves as a foundation course for real estate majors and provides an introduction to real estate for other students. It attempts to develop skills in using legal concepts in a real estate transactional setting. The course will be of interest to students contemplating careers in accounting, real estate development, real estate finance, city planning, or banking. The main topics covered may include the following: land acquisition, finance; choice of entity; tax aspects; management (leasing, environmental); disposition of real property (sale of mortgaged property, foreclosures, wraparound mortgages, sale-leasebacks); and recent legal developments. Lectures and class discussion required."
Legal Studies and Business Ethics,LGST8050,Antitrust and Big Tech(1 CU),Herbert Hovenkamp,"This course considers the role of antitrust law in facilitating and policing the business strategies of dominant firms and joint enterprises. We will examine technology-driven firms such as Amazon, Apple, Facebook, Google, Uber, and Microsoft, as well as disrupted industries such as the digital music industry. In each case, we will consider how firms adapted their strategies to rapidly changing technological environments and ask whether antitrust law served to promote or to hinder innovation and competitive development. Course coverage will range over all portions of the business economy in which competition and innovation are important, but emphasizing markets that have a significant technological component. We will also study a series of classic business cases in technology rich markets, including the American Can Company, Standard Oil, and DuPont. We will pay special attention to the role of intellectual property rights in fostering both individual and collaborative innovation."
Legal Studies and Business Ethics,LGST8060,Negotiations(1 CU),"Eric Max, Erik Santoro, Gus Cooney, Mary McDonnell, Morvarid Taheripour, Nazli Bhatia, Rachel Arnett, uri zaK, Zachary Herrmann","This course examines the art and science of negotiation, with additional emphasis on conflict resolution. Students will engage in a number of simulated negotiations ranging from simple one-issue transactions to multi-party joint ventures. Through these exercises and associated readings, students explore the basic theoretical models of bargaining and have an opportunity to test and improve their negotiation skills. Cross-listed with MGMT 6910/OIDD 6910/LGST 8060. Format: Lecture, class discussion, simulation/role play, and video demonstrations. Materials: Textbook and course pack."
Legal Studies and Business Ethics,LGST8080,Employment Law: Practical Considerations for Managers(1 CU),Paula Castaldo,"Employment laws govern all aspects of the employer-employee relationship, from recruitment and hiring through separation from employment. This course focuses on US laws governing a private employment setting, including: anti-discrimination, -harassment, and -retaliation laws; laws governing affirmative action and diversity initiatives; pay equity laws; workplace leave and accommodation laws; and wage and hour laws. We will not be focusing on immigration laws or labor laws (which apply where the workforce is unionized). Companies with a presence in multiple US jurisdictions must navigate and ensure compliance with all relevant laws enacted at the federal, state, and local levels. These laws are not always consistent with each other, which can create compliance challenges. This course will provide future managers with an overview of these laws and their practical application in the workplace. Through interactive discussions, you will learn to work through common scenarios that arise in the workplace to achieve practical, business-focused solutions that are legally compliant and fair to employees."
Legal Studies and Business Ethics,LGST8090,Sports Business Management(1 CU),Rob Digisi,"This course examines various business disciplines as they apply to the sports industry. The course provides the student with an overview of the business of the intercollegiate, Olympic and professional sports enterprises. In addition, the course investigates the business related issues encountered by managers of sports organizations and covers how business principles can be applied to effectively address these issues."
Legal Studies and Business Ethics,LGST8130,Legal and Transactional Aspects of Entrepreneurship(1 CU),Robert J Borghese,"Legal and Transactional Aspects of Entrepreneurship is a practical and intensive course that examines the critical legal and transactional issues confronting start-up and emerging growth companies. Although the context of the course is early stage companies, many of the concepts studied are equally applicable to more mature, established companies. The course provides perspective on how to use the law strategically to manage risk, deploy resources and maximize shareholder value. Topics include the enforceability of confidentiality, non-competition and other restrictive covenants in employment agreements; choice of business form including the legal, financial and tax advantages and disadvantages of general partnerships, limited partnerships, corporations and limited liability companies; tax and securities law; legal aspects of raising capital including structuring venture capital and private equity financing; entrepreneurial acquisition structures, employment law, and intellectual property law including trade secrets, copyrights, patents, and trademarks. Format: Lecture and discussion with coverage of legal cases and materials. Requirements: Class participation, midterm and final exam. Materials: Course pack."
Legal Studies and Business Ethics,LGST8140,International Business Transactions in Industrialized and Emerging Economies(1 CU),Philip M Nichols,"This course aims to familiarize students with and prepare students for the conduct of international transactions. Students will work their way through a series of hypothetical trade transactions, placed against a background of concepts and general theories. Students will take a hypothetical firm through a series of possible transnational investments, again after discussion of concepts and general theories. Throughout, the course will discuss issues of importance to emerging economies. Students should be able to make thoughtful choices rather than simply reciting bullet points about international business transactions."
Legal Studies and Business Ethics,LGST8150,Environmental Management: Law and Policy(1 CU),"Corinne Snow, Emily Fisher, Margaret Peloso",This course provides an introduction to environmental management with a focus on law and policy as a basic framework. The primary aim of the course is to give students a deeper practical sense of the important relationship between business and the natural environment and to think critically about how best to manage this relationship.
Legal Studies and Business Ethics,LGST8950,Global Business Week(0.5 CU),Kevin Werbach,Please see individual sections for descriptions.
Legal Studies and Business Ethics,LGST8980,Global Modular Course(0.5 CU),"Edwin Keh, Janice Bellace, Kenneth L Shropshire, Kevin Werbach, Peter Conti-Brown, Philip M Nichols, Sergei Savin",Global Modular Course - MBA
Management,MGMT6100,Foundations of Teamwork and Leadership(0.5 CU),"Adam Grant, Michael Parke, Nancy Rothbard, Samir Nurmohamed","MGMT 610 is the first core course in the MBA Program and it cannot be waived. The first week of the fall term (in August) is dedicated to this formative and foundational experience. This course focuses on developing students' knowledge and skill set for teamwork and leadership. It is meant to be an intense immersion experience that draws strongly on the pedagogy of the Wharton Teamwork and Leadership Simulation, a team-based, highly interactive simulation that was custom-designed specifically to allow students to experience the core concepts they learn in this class. The three goals of this course are for students to learn: 1. Leadership behaviors: how to enact the skills that contribute to a team's effective performance. 2. Team dynamics: how to be an effective team member, as well as how to best design work teams; 3. Organizational awareness: understanding organizational culture. Format: A custom-designed Wharton-only simulation is paired with course sessions to deliver a unique learning experience. Classes will include experiental learning combined with debriefings, lectures, readings, class discussion and personal and group performance feedback. This course reflects the realities that informal leadership occurs in teams on an ongoing basis, that being a good team player is a part of leadership, and that many of one's early experiences with leadership will occur while working on teams. Because of the team-based nature of this course, and time intensive nature of this experience, attendance is mandatory for ALL five sessions of this class."
Management,MGMT6110,Managing Established Enterprises(1 CU),"John Paul MacDuffie, Leandro Simoes Pongeluppe, Matteo Tranchero, Steffanie Wilk","This course is about managing large enterprises that face the strategic challenge of being the incumbent in the market and the organizational challenge of needing to balance the forces of inertia and change. The firms of interest in this course tend to operate in a wide range of markets and segments, frequently on a global basis, and need to constantly deploy their resources to fend off challenges from new entrants and technologies that threaten their established positions. The class is organized around three distinct but related topics that managers of established firms must consider: strategy, human and social capital, and global strategy."
